ID,productName,price,desciption,linkToDetails,imgPath
1,,,,,
2,LENOVO,"1 999,000 DT","Ecran&nbsp;15.6"" IPS Full HD&nbsp; - Processeur:&nbsp;Intel Core&nbsp;i5-7300HQ&nbsp; (2,50 GHz&nbsp;Up to&nbsp;3.50 GHz,&nbsp;6 Mo&nbsp;de mémoire Cache) -&nbsp;Systéme d'exploitation:&nbsp;FreeDos&nbsp;-&nbsp;Mémoire RAM:&nbsp;8Go&nbsp;(1X8GBDDR4 DDR4 2400)&nbsp;-&nbsp;Disque Dur:2To&nbsp;-&nbsp;Carte graphique: Nvidea Geforce&nbsp;GTX 1050, (4&nbsp;Go&nbsp;DDR5&nbsp;de mémoire&nbsp;dédiée)&nbsp;avec Wifi, Bluetooth, Webcam -Autonomie jusqu'a 4 heures &nbsp;-&nbsp;&nbsp;Garantie &nbsp;2 ans&nbsp;",https://www.wiki.tn/pc-portable-lenovo-legion-y520-i5-7é-gén-8go--10234.html,https://www.wiki.tn/img/m/12-manu_default.jpg
3,HP,"2 089,000 DT","Ecran&nbsp;15.6''&nbsp;FHD IPS&nbsp;-&nbsp;Processeur:&nbsp;Intel Core™ i5-7300HQ (2,5 GHz ,6Mo, 4cœurs , Quad-Core)&nbsp;-&nbsp;Systéme d'exploitaton:&nbsp;Free Dos&nbsp;-&nbsp;Mémoire RAM:&nbsp;8&nbsp;Go&nbsp;DDR4&nbsp;-&nbsp;Disque Dur:&nbsp;1 To,&nbsp;SATA&nbsp;&nbsp;7200 tr/min&nbsp; -&nbsp;CarteGraphique:&nbsp;NVIDIA® GeForce® GTX 1050 (2 Go GDDR5 dédiée)-&nbsp;Clavier rétroéclairés - avec Wifi et Bluetooth&nbsp;-&nbsp;Garantie: 1 an",https://www.wiki.tn/pc-portable-hp-omen-15-ce016nk-i5-7è-gén-8go-1to-3yd35ea--10892.html,https://www.wiki.tn/img/m/16-manu_default.jpg
4,HP,"2 399,000 DT","Ecran:&nbsp;15.6""&nbsp;FHD IPS&nbsp; ,&nbsp;&nbsp;Processeur:&nbsp;&nbsp;Intel® Core™ i7-7700HQ (2,8 GHz de fréquence de base&nbsp; jusqu’à 3,8 GHz,&nbsp;, 6 Mo de mémoire cache, 4 cœurs),&nbsp;Mémoire RAM:&nbsp;&nbsp;12&nbsp;Go de mémoire SDRAM DDR4&nbsp; -&nbsp;&nbsp;Disque dur:&nbsp;1To SATA -&nbsp;Carte graphique:&nbsp;&nbsp;Dédiée Carte NVIDIA® GeForce® GTX 1050 (4 Go de mémoire GDDR5 dédiée),&nbsp;&nbsp;Système d'exploitation:&nbsp;FREEDOS ,&nbsp; 1 port HDMI; 1 prise combo casque/microphone; 1 port USB 2.0,2 ports USB 3.1 1e génération, 1 port RJ-45 1 lecteur de cartes multimédias SD multiformat&nbsp;,&nbsp;Autonomie jusqu'a 9 heures&nbsp; -&nbsp;&nbsp;Garantie 1 an",https://www.wiki.tn/pc-portable-hp-omen-15-ax209nk-i7-7é-gén-12go-1to-8693.html,https://www.wiki.tn/img/m/16-manu_default.jpg
5,DELL,"2 499,000 DT","Ecran&nbsp;15.6"" FULL HD&nbsp;-&nbsp;Processeur:&nbsp;Intel Core&nbsp;i5-8300H&nbsp;&nbsp;(up to&nbsp;4.0 GHz,&nbsp;8 Mo&nbsp;de mémoire cache,&nbsp;Quad-Core) -&nbsp;Systéme d'exploitation:&nbsp;Linux (Ubuntu)&nbsp;- Mémoire RAM:&nbsp;8 Go&nbsp;DDR4&nbsp;-&nbsp;Disque dur:&nbsp;1 To HDD&nbsp;+&nbsp;128Go SSD&nbsp;- Carte&nbsp;graphique&nbsp;NVIDIA GeForce GTX 1050&nbsp;avec&nbsp;(4&nbsp;Go&nbsp;&nbsp;de mémoire dédiée&nbsp;GDDR5) avec&nbsp;Wi-Fi&nbsp;et&nbsp;Bluetooth&nbsp;- Couleur: Bleu -&nbsp;Garantie: 1 an",https://www.wiki.tn/pc-portable-dell-inspiron-3579-i5-8é-gén-1to128g-bleu-11323.html,https://www.wiki.tn/img/m/23-manu_default.jpg
6,DELL,"2 499,000 DT","Ecran&nbsp;15.6"" FULL HD&nbsp;-&nbsp;Processeur:&nbsp;Intel Core&nbsp;i5-8300H&nbsp; (up to&nbsp;4.0 GHz,&nbsp;8 Mo&nbsp;de mémoire cache) -&nbsp;Systéme d'exploitation:&nbsp;Linux (Ubuntu)&nbsp;- Mémoire RAM:&nbsp;8 Go&nbsp;DDR4&nbsp;-&nbsp;Disque dur:&nbsp;1 To HDD&nbsp;+&nbsp;128Go SSD&nbsp;- Carte&nbsp;graphique&nbsp;NVIDIA GeForce GTX 1050&nbsp;avec&nbsp;(4&nbsp;Go&nbsp;&nbsp;de mémoire dédiée&nbsp;GDDR5) avec&nbsp;Wi-Fi&nbsp;et&nbsp;Bluetooth&nbsp;- Couleur: noir -&nbsp;Garantie: 1 an",https://www.wiki.tn/pc-portable-inspiron-g3-15-3579-i5-8é-gén-8g-1tb128ssd_noir-11327.html,https://www.wiki.tn/img/m/23-manu_default.jpg
7,HP,"2 599,000 DT","&nbsp;HP CE011NK&nbsp;: Processeur&nbsp;Intel Core&nbsp;&nbsp;i7-7700HQ&nbsp;(2,8 GHz up to 3.8 Ghz , 6 Mo de mémoire cache, 4 cœurs) - Systéme d'exploitation:&nbsp;FreeDos &nbsp;- Mémoire RAM&nbsp;12 Go&nbsp;DDR4&nbsp; &nbsp;- Disque Dur:&nbsp;1To, (7200&nbsp;tr/min) - Carte Graphique:Carte NVIDIA® GeForce® GTX 1050 (4 Go de mémoire GDDR5 dédiée)&nbsp; - Ecran&nbsp;15.6""&nbsp;&nbsp;FHD antireflet à rétroéclairage - 1 port USB 3.1 Type –c - 1 port HDMI - 1 prise RJ-45 +un accessoire offert -&nbsp; Garantie&nbsp;: 1 an&nbsp;",https://www.wiki.tn/pc-portable-hp-omen-ce011nk-i7-7é-gén-12go-1to-11226.html,https://www.wiki.tn/img/m/16-manu_default.jpg
8,MSI,"2 599,000 DT","Ecran&nbsp;15.6""&nbsp;Full HD IPS&nbsp;(1920 x 1080),&nbsp;Processeur:&nbsp;Intel®&nbsp;I5-8300H &nbsp;(2.3GHz up to 4 GHz, 8Mo de mémoire Cache) Mémoire RAM:&nbsp;8Go&nbsp;DDR4 2400MHz ,&nbsp;Disque Dur:&nbsp;1 To 5400 Rmp HDD ,&nbsp;Carte Graphique :&nbsp;NAVIDIA&nbsp;GeForce®&nbsp;GTX 1050 4GB GDDR5&nbsp;avec wifi 802.11 AC; Bluetooth &nbsp;5 ; webcam intégré USB HDMI,USB type C,&nbsp;+ pack MSI&nbsp;-&nbsp;&nbsp;&nbsp;Garantie:&nbsp;2 ans",https://www.wiki.tn/pc-portable-gamer-msi-gf63-237xfr-i5-8300h-gtx1050-8g-11104.html,https://www.wiki.tn/img/m/120-manu_default.jpg
9,HP,"2 719,000 DT","&nbsp;HP CE011NK&nbsp;: Processeur&nbsp;Intel Core&nbsp;&nbsp;i7-7700HQ&nbsp;(2,8 GHz up to 3.8 Ghz , 6 Mo de mémoire cache, 4 cœurs) - d'exploitation:&nbsp;FreeDos &nbsp;- Mémoire RAM 16 Go&nbsp;DDR4&nbsp; &nbsp;- Disque Dur:&nbsp;1To, (7200&nbsp;tr/min) - Carte Graphique:Carte NVIDIA® GeForce® GTX 1050 (4 Go de mémoire GDDR5 dédiée)&nbsp; - Ecran&nbsp;15.6""&nbsp;&nbsp;FHD antireflet à rétroéclairage - 1 port USB 3.1 Type –c - 1 port HDMI - 1 prise RJ-45&nbsp;-&nbsp;&nbsp;Garantie&nbsp;: 1 an&nbsp;",https://www.wiki.tn/pc-portable-hp-omen-ce011nk-i7-7é-gén-16go-1to-11354.html,https://www.wiki.tn/img/m/16-manu_default.jpg
10,ASUS,"2 749,000 DT","Ecran&nbsp;15,6""&nbsp;Full HD&nbsp;(1920 x1080 px) -&nbsp;Processeur:&nbsp;Intel® Core™&nbsp;i7-8750HQ&nbsp;8éme Génération, (2.2 Ghz&nbsp;up to&nbsp;4.1 Ghz,&nbsp;9&nbsp;Mo&nbsp;de mémoire cache,&nbsp;Hexa-Core) -&nbsp;Système d'exploitation:&nbsp;FreeDos&nbsp;-&nbsp;Mémoire RAM:&nbsp;16&nbsp;Go&nbsp;DDR4&nbsp;-&nbsp;Disque Dur:&nbsp;1 To + 8 Go SSHD&nbsp;-&nbsp;Carte Graphique:&nbsp;NVIDIA® GeForce®&nbsp;GTX&nbsp;1050&nbsp;(4Go&nbsp;GDDR5&nbsp;de mémoire dédiée&nbsp;) avec WiFi, Ethernet, Bluetooth -&nbsp;Clavier rétroéclairé&nbsp;-&nbsp;Garantie:&nbsp;2 ans",https://www.wiki.tn/pc-portable-asus-rog-strix-i7-8è-gén-16go-1to8-go-sshd-noir--10858.html,https://www.wiki.tn/img/m/27-manu_default.jpg
11,HP,"2 789,000 DT","HP OMEN - 15-ce001nk&nbsp;: &nbsp;Processeur&nbsp;: Core i5-7300HQ (2,5 GHz, 6 Mo cache, 4 cœurs) - Mémoire RAM&nbsp;: 12 Go SDRAM DDR4-2400 -&nbsp;Disque Dur&nbsp;: 1To SATA -Carte Graphique&nbsp;: NVIDIA GeForce GTX 1050( 2Go GDDR5) -802.11ac (2x2) Wifi et Bluetooth 4.2&nbsp; – Ecran&nbsp;: 15.6"" FHD IPS UWVA-Systéme d'exploitaton&nbsp;: Windows 10 Famille 64; Ports : 1 port USB 3.1 Type-C, 3 ports USB 3.1 -&nbsp;Couleur:&nbsp;Noir - &nbsp;Garantie 1 an",https://www.wiki.tn/pc-portable-hp-omen-15-ce001nk-i5-7è-gén-12go-1to--10898.html,https://www.wiki.tn/img/m/16-manu_default.jpg
12,DELL,"2 799,000 DT","Ecran:&nbsp;15'',&nbsp;&nbsp;Inspiron 15 7000 Gaming Series -7577 ,&nbsp;Processeur:&nbsp;Intel Core&nbsp;i7-7700 HQ Quad Core 7ème Génération&nbsp;(6Mo&nbsp;mémoire cache, up to 3.8 GHz) ,Mémoire RAM:&nbsp;16&nbsp;Go(DDR4),&nbsp; 2400MHz,&nbsp;Disque&nbsp; dur :1 To&nbsp;5400 rpm Hard Drive + 128 Go SSD&nbsp; ,&nbsp;&nbsp;Carte graphique:&nbsp;&nbsp;&nbsp;NVIDIA(R) GeForce(R) GTX 1050T i&nbsp;avec 4Go GDDR5&nbsp; &nbsp;Garantie 1 an&nbsp;",https://www.wiki.tn/pc-portable-dell-inspiron-7577-i7-7é-gén-16go-1to-128ssd-rouge-8557.html,https://www.wiki.tn/img/m/23-manu_default.jpg
13,DELL,"2 799,000 DT","Ecran:&nbsp;15''&nbsp;,&nbsp;Processeur:&nbsp;Intel Core&nbsp;i7-7700 HQ Quad Core 7ème Génération&nbsp;(6Mo&nbsp;mémoire cache, up to 3.8 GHz) ,Mémoire RAM:&nbsp;16&nbsp;Go(DDR4),&nbsp; 2400MHz,&nbsp;Disque&nbsp; dur :1 To&nbsp;5400 rpm Hard Drive + 128 Go SSD&nbsp; ,&nbsp;&nbsp;Carte graphique:&nbsp;&nbsp;&nbsp;NVIDIA(R) GeForce(R) GTX 1050T i&nbsp;avec 4Go GDDR5",https://www.wiki.tn/pc-portable-dell-inspiron7577-i7-7é-gén-16go-to128-ssd-noir-7744.html,https://www.wiki.tn/img/m/23-manu_default.jpg
14,DELL,"2 799,000 DT","Ecran:&nbsp;15''&nbsp;,&nbsp;Processeur:&nbsp;Intel Core&nbsp;i7-7700 HQ Quad Core 7ème Génération&nbsp;(6Mo&nbsp;mémoire cache, up to 3.8 GHz) ,Mémoire RAM:&nbsp;16&nbsp;Go(DDR4),&nbsp; 2400MHz,&nbsp;Disque&nbsp; dur :1 To&nbsp;5400 rpm Hard Drive + 128 Go SSD&nbsp; ,&nbsp;&nbsp;Carte graphique:&nbsp;&nbsp;&nbsp;NVIDIA(R) GeForce(R) GTX 1050T i&nbsp;avec 4Go GDDR5",https://www.wiki.tn/pc-portable-dell-inspiron7577-i7-7é-gén-16go-to128-ssd-noir-7744.html,https://www.wiki.tn/img/m/23-manu_default.jpg
15,LENOVO,"1 999,000 DT","Ecran&nbsp;15.6"" IPS Full HD&nbsp; - Processeur:&nbsp;Intel Core&nbsp;i5-7300HQ&nbsp; (2,50 GHz&nbsp;Up to&nbsp;3.50 GHz,&nbsp;6 Mo&nbsp;de mémoire Cache) -&nbsp;Systéme d'exploitation:&nbsp;FreeDos&nbsp;-&nbsp;Mémoire RAM:&nbsp;8Go&nbsp;(1X8GBDDR4 DDR4 2400)&nbsp;-&nbsp;Disque Dur:2To&nbsp;-&nbsp;Carte graphique: Nvidea Geforce&nbsp;GTX 1050, (4&nbsp;Go&nbsp;DDR5&nbsp;de mémoire&nbsp;dédiée)&nbsp;avec Wifi, Bluetooth, Webcam -Autonomie jusqu'a 4 heures &nbsp;-&nbsp;&nbsp;Garantie &nbsp;2 ans&nbsp;",https://www.wiki.tn/pc-portable-lenovo-legion-y520-i5-7é-gén-8go--10234.html,https://www.wiki.tn/img/m/12-manu_default.jpg
16,HP,"2 089,000 DT","Ecran&nbsp;15.6''&nbsp;FHD IPS&nbsp;-&nbsp;Processeur:&nbsp;Intel Core™ i5-7300HQ (2,5 GHz ,6Mo, 4cœurs , Quad-Core)&nbsp;-&nbsp;Systéme d'exploitaton:&nbsp;Free Dos&nbsp;-&nbsp;Mémoire RAM:&nbsp;8&nbsp;Go&nbsp;DDR4&nbsp;-&nbsp;Disque Dur:&nbsp;1 To,&nbsp;SATA&nbsp;&nbsp;7200 tr/min&nbsp; -&nbsp;CarteGraphique:&nbsp;NVIDIA® GeForce® GTX 1050 (2 Go GDDR5 dédiée)-&nbsp;Clavier rétroéclairés - avec Wifi et Bluetooth&nbsp;-&nbsp;Garantie: 1 an",https://www.wiki.tn/pc-portable-hp-omen-15-ce016nk-i5-7è-gén-8go-1to-3yd35ea--10892.html,https://www.wiki.tn/img/m/16-manu_default.jpg
17,HP,"2 399,000 DT","Ecran:&nbsp;15.6""&nbsp;FHD IPS&nbsp; ,&nbsp;&nbsp;Processeur:&nbsp;&nbsp;Intel® Core™ i7-7700HQ (2,8 GHz de fréquence de base&nbsp; jusqu’à 3,8 GHz,&nbsp;, 6 Mo de mémoire cache, 4 cœurs),&nbsp;Mémoire RAM:&nbsp;&nbsp;12&nbsp;Go de mémoire SDRAM DDR4&nbsp; -&nbsp;&nbsp;Disque dur:&nbsp;1To SATA -&nbsp;Carte graphique:&nbsp;&nbsp;Dédiée Carte NVIDIA® GeForce® GTX 1050 (4 Go de mémoire GDDR5 dédiée),&nbsp;&nbsp;Système d'exploitation:&nbsp;FREEDOS ,&nbsp; 1 port HDMI; 1 prise combo casque/microphone; 1 port USB 2.0,2 ports USB 3.1 1e génération, 1 port RJ-45 1 lecteur de cartes multimédias SD multiformat&nbsp;,&nbsp;Autonomie jusqu'a 9 heures&nbsp; -&nbsp;&nbsp;Garantie 1 an",https://www.wiki.tn/pc-portable-hp-omen-15-ax209nk-i7-7é-gén-12go-1to-8693.html,https://www.wiki.tn/img/m/16-manu_default.jpg
